,title,price,year,link,category,age
78,zinger! electric wheel chair,550,,https://charlottesville.craigslist.org/fuo/d/scottsville-zinger-electric-wheel-chair/7910952768.html,chair,
79,kardiel josef kubus style mid-century modern lounge chair,400,,https://charlottesville.craigslist.org/fuo/d/charlottesville-kardiel-josef-kubus/7912398468.html,chair,
80,kardiel josef kubus style mid-century modern sofa 3 seat,1000,,https://charlottesville.craigslist.org/fuo/d/charlottesville-kardiel-josef-kubus/7912393652.html,sofa,
81,vanity and night stand,120,,https://charlottesville.craigslist.org/fuo/d/somerset-vanity-and-night-stand/7912370778.html,missing,
82,pair of lovely upholstered vintage chairs,150,,https://charlottesville.craigslist.org/fuo/d/culpeper-pair-of-lovely-upholstered/7890928430.html,chair,
83,"samsung 42"" tv with stand",90,,https://charlottesville.craigslist.org/fuo/d/ivy-samsung-42-tv-with-stand/7906385679.html,missing,
84,afghan taimani oriental rug,100,,https://charlottesville.craigslist.org/fuo/d/lexington-afghan-taimani-oriental-rug/7912344533.html,missing,
85,kid's rocking chair,50,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-kids-rocking-chair/7902072311.html,chair,
86,"kids bed, headboard only",200,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-kids-bed-headboard/7902072427.html,missing,
87,5 piece queen size bedroom set,1000,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-piece-queen-size/7903361006.html,missing,
88,5 piece full size bedroom set,2000,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-piece-full-size/7902072524.html,missing,
89,adult rocking chair,250,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-adult-rocking-chair/7902072357.html,chair,
90,daybed frame,200,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-daybed-frame/7902072476.html,missing,
91,marble top dresser,250,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-marble-top-dresser/7895469819.html,dresser,
92,solid wood vintage bed frame,200,,https://charlottesville.craigslist.org/fuo/d/charlottesville-solid-wood-vintage-bed/7912276913.html,missing,
93,ceiling lamps,10,,https://charlottesville.craigslist.org/fuo/d/charlottesville-ceiling-lamps/7906127676.html,lamp,
94,christmas special thomasville dining set 8 chairs table/china cabinet,500,,https://charlottesville.craigslist.org/fuo/d/montpelier-station-christmas-special/7876735137.html,chair,
95,decorative metal wall piece,20,,https://charlottesville.craigslist.org/fuo/d/troy-decorative-metal-wall-piece/7877432447.html,missing,
96,"lightweight 3""- 4"" thick full mattress type",10,,https://charlottesville.craigslist.org/fuo/d/troy-lightweight-thick-full-mattress/7872759460.html,missing,
97,new mirrored wall art sound/lights package,75,,https://charlottesville.craigslist.org/fuo/d/troy-new-mirrored-wall-art-sound-lights/7872760303.html,missing,
98,antique washstand/mirror,250,,https://charlottesville.craigslist.org/fuo/d/troy-antique-washstand-mirror/7872840543.html,missing,
99,small table end/coffee decorative legs,20,,https://charlottesville.craigslist.org/fuo/d/troy-small-table-end-coffee-decorative/7875719690.html,table,
100,end table,20,,https://charlottesville.craigslist.org/fuo/d/troy-end-table/7875721301.html,table,
101,wood old rocking chair,20,,https://charlottesville.craigslist.org/fuo/d/troy-wood-old-rocking-chair/7875721136.html,chair,
102,small green fold table/artificial red poinsettia,10,,https://charlottesville.craigslist.org/fuo/d/troy-small-green-fold-table-artificial/7876270942.html,missing,
103,(2) dining chairs white pull over covers,15,,https://charlottesville.craigslist.org/fuo/d/troy-dining-chairs-white-pull-over/7876369959.html,chair,
104,(4) stanley artisan wood swivel bar stools,600,,https://charlottesville.craigslist.org/fuo/d/charlottesville-stanley-artisan-wood/7912209245.html,missing,
105,brand new entertainment cart with wheels,45,,https://charlottesville.craigslist.org/fuo/d/white-hall-brand-new-entertainment-cart/7885349879.html,missing,
106,vintage handmade solid wooden heavy bookshelf,80,,https://charlottesville.craigslist.org/fuo/d/greenwood-vintage-handmade-solid-wooden/7909628314.html,missing,
107,large 3 tier cart,30,,https://charlottesville.craigslist.org/fuo/d/troy-large-tier-cart/7879194883.html,missing,
108,small square table,10,,https://charlottesville.craigslist.org/fuo/d/troy-small-square-table/7880800418.html,table,
109,small table wheels,10,,https://charlottesville.craigslist.org/fuo/d/troy-small-table-wheels/7880830471.html,table,
110,vintage headboard and footboard,30,,https://charlottesville.craigslist.org/fuo/d/troy-vintage-headboard-and-footboard/7881627620.html,missing,
111,5 drawer chest,30,,https://charlottesville.craigslist.org/fuo/d/troy-drawer-chest/7881762858.html,missing,
112,black lightweight  4 drawer chest,20,,https://charlottesville.craigslist.org/fuo/d/troy-black-lightweight-drawer-chest/7881766433.html,missing,
113,new daiwa qr750 ultralight spinning reel fishing 🎣,30,,https://charlottesville.craigslist.org/fuo/d/charlottesville-new-daiwa-qr750/7912184551.html,missing,
114,1 canvas you could hang,8,,https://charlottesville.craigslist.org/fuo/d/troy-canvas-you-could-hang/7882456942.html,missing,
115,new seaknight windrunner 4000 5.2.1 fishing 🎣 reel,30,,https://charlottesville.craigslist.org/fuo/d/charlottesville-new-seaknight/7912184306.html,missing,
116,table wood trundle legs,30,,https://charlottesville.craigslist.org/fuo/d/troy-table-wood-trundle-legs/7883848723.html,table,
117,wood restaurant booth plus (2) tables,150,,https://charlottesville.craigslist.org/fuo/d/troy-wood-restaurant-booth-plus-tables/7885992373.html,table,
118,colorful decorative trunk,30,,https://charlottesville.craigslist.org/fuo/d/troy-colorful-decorative-trunk/7886553907.html,missing,
